station_id,num_bikes_available,num_bikes_available_types,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported
7345,15,"{'mechanical': 12, 'ebike': 3}",1,15,0,1785180947.0
7346,4,"{'mechanical': 4, 'ebike': 0}",2,17,0,1785181041.0
7347,0,"{'mechanical': 0, 'ebike': 0}",0,15,0,1785181047.0
7348,14,"{'mechanical': 11, 'ebike': 3}",0,4,1,1785181028.0
7349,4,"{'mechanical': 2, 'ebike': 2}",0,18,1,1785180950.0
7350,14,"{'mechanical': 14, 'ebike': 0}",1,8,0,1785180985.0
7351,1,"{'mechanical': 1, 'ebike': 0}",0,18,0,1785180977.0
7352,11,"{'mechanical': 9, 'ebike': 2}",1,7,0,1785181032.0
7353,1,"{'mechanical': 1, 'ebike': 0}",0,18,0,1785180974.0
7354,16,"{'mechanical': 16, 'ebike': 0}",1,14,0,1785180970.0
7355,1,"{'mechanical': 1, 'ebike': 0}",4,6,0,1785180990.0
7356,26,"{'mechanical': 24, 'ebike': 2}",0,5,0,1785180987.0
7357,12,"{'mechanical': 12, 'ebike': 0}",2,5,0,1785180929.0
7358,12,"{'mechanical': 11, 'ebike': 1}",0,5,0,1785181023.0
7359,0,"{'mechanical': 0, 'ebike': 0}",0,23,0,1785180932.0
7360,3,"{'mechanical': 3, 'ebike': 0}",3,11,0,1785180983.0
7361,0,"{'mechanical': 0, 'ebike': 0}",1,18,0,1785181049.0
7362,0,"{'mechanical': 0, 'ebike': 0}",0,18,1,1785180936.0
7363,0,"{'mechanical': 0, 'ebike': 0}",0,15,0,1785180940.0
7364,26,"{'mechanical': 24, 'ebike': 2}",0,8,1,1785181031.0
7365,36,"{'mechanical': 36, 'ebike': 0}",1,24,0,1785181035.0
7366,3,"{'mechanical': 2, 'ebike': 1}",1,16,0,1785180980.0
7367,2,"{'mechanical': 0, 'ebike': 2}",0,14,0,1785181016.0
7368,4,"{'mechanical': 3, 'ebike': 1}",1,3,0,1785180968.0
7371,2,"{'mechanical': 0, 'ebike': 2}",0,18,0,1785180982.0
7373,13,"{'mechanical': 12, 'ebike': 1}",0,2,0,1785181007.0
7374,5,"{'mechanical': 5, 'ebike': 0}",0,14,0,1785181004.0
7375,10,"{'mechanical': 9, 'ebike': 1}",0,1,0,1785181028.0
7376,0,"{'mechanical': 0, 'ebike': 0}",0,19,0,1785181014.0
7377,9,"{'mechanical': 1, 'ebike': 8}",0,26,1,1785180928.0
7378,1,"{'mechanical': 0, 'ebike': 1}",3,11,0,1785181025.0
7379,2,"{'mechanical': 0, 'ebike': 2}",0,13,0,1785180957.0
7380,1,"{'mechanical': 1, 'ebike': 0}",0,15,0,1785180981.0
7381,4,"{'mechanical': 3, 'ebike': 1}",3,27,1,1785181005.0
7382,19,"{'mechanical': 18, 'ebike': 1}",4,4,0,1785180979.0
7383,14,"{'mechanical': 11, 'ebike': 3}",0,1,0,1785180929.0
7384,1,"{'mechanical': 0, 'ebike': 1}",0,8,0,1785180995.0
7385,2,"{'mechanical': 0, 'ebike': 2}",23,8,0,1785180940.0
7386,7,"{'mechanical': 7, 'ebike': 0}",1,8,0,1785180955.0
7387,2,"{'mechanical': 0, 'ebike': 2}",0,10,0,1785181006.0
7388,8,"{'mechanical': 7, 'ebike': 1}",2,5,0,1785180967.0
7389,8,"{'mechanical': 6, 'ebike': 2}",0,17,0,1785180958.0
7391,24,"{'mechanical': 24, 'ebike': 0}",0,7,0,1785180981.0
7395,1,"{'mechanical': 1, 'ebike': 0}",1,21,0,1785180995.0
7398,18,"{'mechanical': 18, 'ebike': 0}",0,1,0,1785180983.0
7399,15,"{'mechanical': 15, 'ebike': 0}",0,4,0,1785180949.0
7400,6,"{'mechanical': 6, 'ebike': 0}",0,17,0,1785181032.0
7403,9,"{'mechanical': 3, 'ebike': 6}",2,8,0,1785180955.0
7404,0,"{'mechanical': 0, 'ebike': 0}",0,19,0,1785180952.0
7407,15,"{'mechanical': 14, 'ebike': 1}",2,6,0,1785180931.0
7409,16,"{'mechanical': 13, 'ebike': 3}",0,11,0,1785181014.0
7410,0,"{'mechanical': 0, 'ebike': 0}",1,18,0,1785180984.0
7411,3,"{'mechanical': 2, 'ebike': 1}",1,19,0,1785180999.0
7412,4,"{'mechanical': 4, 'ebike': 0}",0,19,0,1785180930.0
7414,0,"{'mechanical': 0, 'ebike': 0}",2,13,0,1785181037.0
7415,3,"{'mechanical': 2, 'ebike': 1}",0,20,0,1785181055.0
7416,13,"{'mechanical': 11, 'ebike': 2}",1,17,0,1785180988.0
7417,8,"{'mechanical': 8, 'ebike': 0}",0,3,0,1785181001.0
7418,7,"{'mechanical': 7, 'ebike': 0}",0,18,0,1785181031.0
7419,9,"{'mechanical': 9, 'ebike': 0}",0,18,0,1785181015.0
7420,19,"{'mechanical': 16, 'ebike': 3}",0,9,0,1785180989.0
7422,1,"{'mechanical': 1, 'ebike': 0}",1,14,0,1785181054.0
7425,19,"{'mechanical': 19, 'ebike': 0}",1,3,0,1785181004.0
7427,31,"{'mechanical': 31, 'ebike': 0}",1,9,0,1785181008.0
7428,28,"{'mechanical': 27, 'ebike': 1}",2,13,0,1785181035.0
7429,9,"{'mechanical': 8, 'ebike': 1}",1,4,1,1785180940.0
7430,6,"{'mechanical': 6, 'ebike': 0}",1,20,0,1785180935.0
7431,18,"{'mechanical': 17, 'ebike': 1}",0,7,0,1785181000.0
7432,7,"{'mechanical': 6, 'ebike': 1}",1,39,0,1785180967.0
7433,8,"{'mechanical': 8, 'ebike': 0}",1,7,0,1785181019.0
7434,20,"{'mechanical': 0, 'ebike': 20}",5,14,0,1785180990.0
7435,1,"{'mechanical': 0, 'ebike': 1}",0,10,0,1785181027.0
7437,4,"{'mechanical': 1, 'ebike': 3}",0,11,0,1785181017.0
7438,0,"{'mechanical': 0, 'ebike': 0}",0,19,0,1785180976.0
